elevation,lulc,ndvi,ndwi,river,road,lithology,lithology_boundary,fault,twi,spi,tri,roughness,slope,aspect,profile,planform,Landslide
0.930000007,1.629999995,1.070000052,1.019999981,1.00999999,0.200000003,3.220000029,0.129999995,0.779999971,1.129999995,1.090000033,1.320000052,1.629999995,1.570000052,0.879999995,0.980000019,1.059999943,0
0.25,1.629999995,1.070000052,1.019999981,1.409999967,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,0.879999995,0.980000019,1.059999943,0
0.930000007,0.560000002,1.070000052,1.860000014,1.00999999,1.889999986,0.409999996,1.24000001,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,0.689999998,0.980000019,0.829999983,0
0.25,2.880000114,1.070000052,1.019999981,1.00999999,3.569999933,0.330000013,17.25,0.779999971,0.629999995,1.090000033,1.320000052,1.629999995,1.570000052,1.25,1,1.059999943,0
0.25,0.560000002,0.200000003,1.019999981,1.00999999,0.059999999,0.600000024,17.25,0.779999971,1.129999995,1.090000033,1.320000052,1.629999995,1.570000052,1.120000005,1.059999943,1.059999943,0
0.159999996,0,0.200000003,1.019999981,0.140000001,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.25,0.980000019,1.059999943,0
0.930000007,1.629999995,1.070000052,1.860000014,1.00999999,0.200000003,3.220000029,1.610000014,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,0.879999995,0.980000019,1.059999943,0
3.769999981,0.560000002,1.070000052,0.460000008,1.00999999,0.200000003,1.120000005,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,1.120000005,1,1.059999943,0
0.25,0,1.070000052,1.860000014,1.00999999,0.200000003,0.519999981,1.24000001,1.320000052,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.25,0.980000019,1.120000005,0
0.25,0.560000002,0.200000003,1.019999981,1.00999999,0.200000003,0.25999999,0.129999995,1.370000005,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.120000005,1,0.829999983,0
0.25,0,2.390000105,1.019999981,1.409999967,1.889999986,0.409999996,17.25,1.320000052,0.629999995,1.090000033,1.320000052,0.610000014,1.570000052,1.059999943,0.980000019,1.059999943,0
0.25,0.560000002,0.200000003,0.460000008,1.25999999,0.059999999,0.769999981,17.25,1.320000052,0.920000017,0.310000002,0.579999983,1.629999995,1.570000052,1.059999943,1.059999943,1.120000005,0
0.25,0.560000002,0.200000003,0.460000008,1.00999999,1.889999986,0.409999996,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,1.059999943,1,1.059999943,0
0.25,0.560000002,0.200000003,0.460000008,1.00999999,3.569999933,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.120000005,0.980000019,0.829999983,0
0.159999996,1.629999995,0.200000003,1.019999981,1.00999999,0.059999999,0.090000004,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,1.120000005,0.980000019,1.120000005,0
0.159999996,0.560000002,2.390000105,1.860000014,1.00999999,1.889999986,0.25999999,1.24000001,1.370000005,0.629999995,1.090000033,0.579999983,1.629999995,1.570000052,1.059999943,1,1.059999943,0
0.159999996,1.629999995,0.200000003,0.460000008,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.059999943,0.980000019,1.120000005,0
0.25,0.560000002,1.070000052,1.019999981,1.25999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,1.629999995,1.570000052,1.25,0.980000019,0.829999983,0
3.769999981,0.560000002,1.070000052,1.019999981,1.00999999,0.200000003,1.120000005,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.059999943,0.980000019,0.829999983,0
0.159999996,1.629999995,0.200000003,0.460000008,1.00999999,1.889999986,0.600000024,17.25,0.779999971,0.920000017,1.139999986,1.320000052,0.610000014,1.570000052,0.879999995,0.980000019,0.829999983,0
0.159999996,1.629999995,1.070000052,1.019999981,0.140000001,0.059999999,0.600000024,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.120000005,1.059999943,0.829999983,0
0.159999996,1.629999995,1.070000052,1.019999981,0.140000001,0.059999999,0.330000013,1.610000014,1.690000057,0.629999995,1.090000033,0.579999983,1.629999995,1.570000052,0.879999995,1,1.059999943,0
0.930000007,1.629999995,1.070000052,1.019999981,1.00999999,0.059999999,0.519999981,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,1.25,0.980000019,1.059999943,0
0.159999996,1.629999995,0.200000003,0.460000008,1.409999967,0.059999999,0.090000004,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.25,0.980000019,0.829999983,0
0.25,0,1.070000052,1.019999981,1.409999967,1.889999986,0.600000024,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.059999943,0.980000019,1.120000005,0
0.25,1.629999995,0.200000003,1.019999981,1.25999999,0.059999999,0.769999981,17.25,0.779999971,0.920000017,0.310000002,1.320000052,0.610000014,1.570000052,0.689999998,1.059999943,1.120000005,0
0.159999996,1.629999995,0.200000003,0.460000008,1.00999999,0.059999999,0.090000004,17.25,0.779999971,0.920000017,0.310000002,0.579999983,1.629999995,1.570000052,1.25,1.059999943,1.120000005,0
0.159999996,1.629999995,1.070000052,1.019999981,1.00999999,0.059999999,0.25999999,1.24000001,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,1.570000052,0.689999998,0.980000019,1.059999943,0
0.159999996,1.629999995,0.200000003,0.460000008,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,2.720000029,0.610000014,3.339999914,0.689999998,1,1.120000005,0
0.930000007,0.560000002,1.070000052,0.460000008,1.00999999,3.569999933,0.409999996,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,1.059999943,0.980000019,1.059999943,0
0.25,0.560000002,1.070000052,0.460000008,1.00999999,0.059999999,0.409999996,17.25,0.779999971,0.920000017,1.139999986,0.579999983,1.629999995,1.570000052,1.120000005,0.980000019,1.120000005,0
0.930000007,0.560000002,2.390000105,1.860000014,1.00999999,1.889999986,0.409999996,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,1.120000005,0.980000019,1.059999943,0
0.930000007,1.629999995,1.070000052,1.019999981,1.00999999,1.889999986,0.409999996,17.25,1.690000057,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,0.879999995,1,1.059999943,0
0.25,1.629999995,1.070000052,1.019999981,1.25999999,0.059999999,0.330000013,17.25,0.779999971,0.920000017,1.139999986,0.579999983,1.629999995,1.570000052,0.879999995,0.980000019,1.120000005,0
0.159999996,1.629999995,1.070000052,1.860000014,1.00999999,0.059999999,0.769999981,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,3.339999914,0.689999998,0.980000019,1.059999943,0
0.25,0.560000002,0.200000003,0.460000008,1.25999999,0.059999999,0.409999996,17.25,0.779999971,0.920000017,0.310000002,0.579999983,1.629999995,0.389999986,1.120000005,0.980000019,1.059999943,0
0.159999996,1.629999995,0.200000003,1.019999981,1.00999999,0.059999999,0.769999981,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,3.339999914,1.25,0.980000019,1.120000005,0
0.25,1.629999995,1.070000052,0.460000008,1.409999967,0.059999999,0.409999996,17.25,1.320000052,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,0.879999995,0.980000019,0.829999983,0
0,1.629999995,0,0,0,0,0.090000004,0,0,0,0,0,0,0,0,0,0,0
3.769999981,1.629999995,1.070000052,1.860000014,1.00999999,0.059999999,0.409999996,17.25,1.690000057,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,0.879999995,0.980000019,0.829999983,0
0.159999996,1.629999995,1.070000052,1.019999981,1.00999999,0.059999999,0.769999981,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,0.689999998,1,1.059999943,0
0.25,0.800000012,2.390000105,1.860000014,1.00999999,0.059999999,0.409999996,17.25,0.779999971,0.629999995,1.090000033,1.320000052,0.610000014,1.570000052,1.059999943,1,0.829999983,0
0.930000007,0.560000002,2.390000105,1.019999981,1.00999999,0.059999999,0.519999981,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.059999943,0.980000019,0.829999983,0
0.930000007,0.560000002,1.070000052,1.860000014,0.140000001,0.200000003,0.409999996,17.25,1.320000052,0.629999995,1.090000033,1.320000052,0.610000014,1.570000052,1.059999943,0.980000019,0.829999983,0
0.159999996,0.800000012,2.390000105,1.860000014,1.409999967,3.569999933,0.409999996,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.059999943,1,1.059999943,0
0.159999996,0,2.390000105,1.019999981,1.00999999,0.059999999,0.330000013,17.25,0.779999971,0.920000017,1.139999986,1.320000052,0.610000014,1.570000052,1.059999943,0.980000019,1.120000005,0
0.25,0,1.070000052,1.860000014,0.140000001,0.059999999,0.769999981,1.610000014,1.370000005,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,1.059999943,0.980000019,0.829999983,0
0.930000007,0.560000002,0.200000003,1.019999981,1.00999999,0.059999999,0.519999981,17.25,1.320000052,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,1.120000005,1,1.059999943,0
0.930000007,2.880000114,2.390000105,1.860000014,1.25999999,0.059999999,0.769999981,1.24000001,1.690000057,0.920000017,1.139999986,1.320000052,0.610000014,1.570000052,0.879999995,0.980000019,1.120000005,0
3.769999981,0.560000002,1.070000052,0.460000008,1.00999999,1.889999986,1.120000005,17.25,1.320000052,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.120000005,1.059999943,1.120000005,0
3.769999981,1.629999995,1.070000052,1.019999981,1.00999999,0.059999999,0.330000013,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,0.879999995,0.980000019,0.829999983,0
0.25,0,0.200000003,1.019999981,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,0.689999998,1,0.829999983,0
0.159999996,0.800000012,1.070000052,1.019999981,1.00999999,0.059999999,0.769999981,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,0.879999995,1,1.059999943,0
0.930000007,1.629999995,1.070000052,1.019999981,1.409999967,1.889999986,0.769999981,17.25,1.320000052,1.129999995,1.139999986,0.579999983,1.629999995,1.570000052,1.120000005,1,1.059999943,0
0.159999996,0.560000002,0.200000003,0.460000008,0.140000001,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.120000005,1,1.059999943,0
3.769999981,1.629999995,1.070000052,1.860000014,1.25999999,3.569999933,1.120000005,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,1.25,0.980000019,1.059999943,0
0.25,0,1.070000052,1.019999981,1.00999999,0.200000003,0.769999981,17.25,1.320000052,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.120000005,0.980000019,1.120000005,0
0.25,0.560000002,1.070000052,1.860000014,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.120000005,1.059999943,1.120000005,0
0.930000007,0.560000002,1.070000052,0.460000008,0.140000001,1.889999986,0.519999981,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,1.570000052,1.25,0.980000019,1.059999943,0
0.930000007,1.629999995,1.070000052,1.860000014,1.00999999,1.889999986,0.330000013,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,0.879999995,1,1.059999943,0
3.769999981,0.560000002,0.200000003,0.460000008,1.00999999,3.569999933,1.120000005,17.25,0.779999971,0.920000017,1.139999986,1.320000052,0.610000014,1.570000052,0.689999998,1.059999943,1.120000005,0
0.159999996,1.629999995,1.070000052,1.860000014,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,0.879999995,1,0.829999983,0
3.769999981,0.800000012,2.390000105,1.860000014,1.25999999,1.889999986,0.769999981,17.25,1.320000052,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,0.879999995,1.059999943,1.120000005,0
0.25,0.560000002,1.070000052,1.860000014,1.00999999,0.200000003,0.769999981,17.25,0.779999971,0.920000017,1.090000033,1.320000052,1.25999999,3.339999914,0,0.980000019,0.829999983,0
0.25,0.560000002,0.200000003,0.460000008,1.00999999,1.889999986,0.600000024,17.25,0.779999971,0.920000017,0.310000002,2.720000029,1.25999999,3.339999914,1.120000005,1.059999943,1.120000005,0
0.930000007,0.560000002,1.070000052,0.460000008,1.409999967,1.889999986,0.769999981,17.25,1.320000052,0.629999995,1.090000033,1.320000052,0.610000014,1.570000052,1.25,1,1.059999943,0
0.159999996,1.629999995,0.200000003,1.019999981,1.25999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.25,1,1.120000005,0
0.159999996,1.629999995,1.070000052,1.019999981,1.00999999,3.569999933,0.769999981,17.25,0.779999971,0.920000017,0.310000002,1.320000052,0.610000014,1.570000052,0.689999998,1.059999943,1.120000005,0
0.159999996,1.629999995,0.200000003,0.460000008,1.409999967,0.059999999,0.519999981,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,1.570000052,1.059999943,0.980000019,1.059999943,0
0.25,1.629999995,1.070000052,1.019999981,1.409999967,0.200000003,0.409999996,17.25,1.320000052,1.129999995,1.139999986,0.579999983,1.629999995,1.570000052,0.879999995,0.980000019,0.829999983,0
0.930000007,1.629999995,1.070000052,1.019999981,1.00999999,1.889999986,0.519999981,17.25,0.779999971,0.629999995,1.090000033,0.579999983,2.019999981,0.319999993,1.25,0.980000019,0.829999983,0
0.25,1.629999995,1.070000052,1.019999981,1.00999999,0.059999999,0.519999981,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,0.879999995,0.980000019,1.059999943,0
0.25,1.629999995,1.070000052,1.860000014,1.00999999,0.059999999,0.769999981,17.25,0.779999971,1.129999995,1.090000033,1.320000052,1.629999995,1.570000052,0.879999995,0.980000019,1.120000005,0
0.25,0.560000002,0.200000003,1.019999981,1.00999999,0.059999999,0.409999996,17.25,1.370000005,0.920000017,0.310000002,1.320000052,1.629999995,1.570000052,1.059999943,1.059999943,1.120000005,0
0.159999996,1.629999995,2.390000105,1.019999981,1.25999999,0.200000003,0.769999981,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.120000005,1.059999943,1.059999943,0
3.769999981,1.629999995,1.070000052,0.460000008,1.409999967,3.569999933,3.220000029,1.24000001,0.779999971,1.129999995,1.090000033,1.320000052,1.629999995,1.570000052,1.059999943,0.980000019,1.059999943,0
0.159999996,1.629999995,1.070000052,1.019999981,0.140000001,0.059999999,0.600000024,17.25,0.779999971,0.920000017,1.090000033,2.720000029,1.25999999,3.339999914,0,0.980000019,0.829999983,0
0.159999996,1.629999995,0.200000003,0.460000008,1.00999999,0.059999999,0.600000024,17.25,1.320000052,0.920000017,0.310000002,0.579999983,1.629999995,0.389999986,1.120000005,0.980000019,1.120000005,0
0.25,1.629999995,1.070000052,1.019999981,1.409999967,0.059999999,0.769999981,17.25,1.690000057,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,1.25,0.980000019,0.829999983,0
0.159999996,1.629999995,1.070000052,1.019999981,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,1.120000005,1,1.059999943,0
0.25,1.629999995,1.070000052,0.460000008,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,1.629999995,1.570000052,1.059999943,0.980000019,0.829999983,0
0.930000007,0.560000002,0.200000003,1.019999981,1.00999999,3.569999933,0.769999981,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,3.339999914,1.059999943,1,1.059999943,0
0.25,1.629999995,0.200000003,1.019999981,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,0.689999998,0.980000019,0.829999983,0
0.25,0.560000002,1.070000052,1.019999981,0.140000001,0.059999999,0.409999996,17.25,0.779999971,0.920000017,1.139999986,0.579999983,1.629999995,0.389999986,1.059999943,0.980000019,1.120000005,0
0.25,0.560000002,0.200000003,0.460000008,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,1.629999995,1.570000052,1.120000005,1,1.120000005,0
0.25,1.629999995,1.070000052,1.860000014,1.00999999,0.200000003,0.769999981,1.24000001,0.779999971,1.129999995,1.090000033,2.720000029,1.25999999,3.339999914,0.689999998,0.980000019,0.829999983,0
0.159999996,1.629999995,0.200000003,1.019999981,1.409999967,0.059999999,0.330000013,1.24000001,1.370000005,0.920000017,0.310000002,0.579999983,1.629999995,1.570000052,0.879999995,0.980000019,1.120000005,0
0.159999996,1.629999995,0.200000003,0.460000008,1.25999999,0.059999999,0.090000004,17.25,0.779999971,0.920000017,0.310000002,1.320000052,0.610000014,1.570000052,1.25,1.059999943,1.120000005,0
0.930000007,0,1.070000052,1.019999981,1.00999999,1.889999986,0.600000024,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,1.120000005,0.980000019,1.059999943,0
0.25,0.560000002,1.070000052,1.019999981,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,1.570000052,1.059999943,1,1.059999943,0
0.930000007,0.560000002,1.070000052,1.860000014,0.140000001,1.889999986,0.409999996,17.25,0.779999971,0.920000017,0.310000002,0.579999983,1.629999995,1.570000052,1.059999943,1.059999943,1.120000005,0
0.159999996,1.629999995,0.200000003,1.860000014,0.140000001,0.059999999,0.090000004,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,1.120000005,0.980000019,0.829999983,0
0.159999996,1.629999995,0.200000003,1.019999981,1.00999999,0.059999999,0.600000024,17.25,1.690000057,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.25,1,1.059999943,0
0.159999996,1.629999995,1.070000052,1.860000014,0.140000001,1.889999986,0.600000024,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,1.570000052,1.120000005,0.980000019,0.829999983,0
0.930000007,1.629999995,1.070000052,1.860000014,1.00999999,0.200000003,0.409999996,17.25,1.370000005,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,0.879999995,0.980000019,1.120000005,0
0.930000007,0.560000002,1.070000052,0.460000008,1.00999999,0.059999999,0.25999999,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.120000005,1.059999943,1.059999943,0
0.930000007,0.560000002,1.070000052,0.460000008,1.00999999,0.200000003,0.409999996,17.25,1.320000052,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,1.120000005,1,1.120000005,0
0.25,0.560000002,1.070000052,1.019999981,1.00999999,1.889999986,0.769999981,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,1.059999943,0.980000019,0.829999983,0
0.25,1.629999995,1.070000052,1.019999981,1.00999999,0.059999999,0.330000013,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,1.570000052,0.689999998,1,1.059999943,0
0.25,0.560000002,0.200000003,0.460000008,0.140000001,0.059999999,0.519999981,17.25,1.690000057,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,0.689999998,1.059999943,1.120000005,0
0.25,0.560000002,0.200000003,0.460000008,0.140000001,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,0.689999998,0.980000019,1.059999943,0
0.25,0.560000002,2.390000105,1.860000014,1.00999999,0.059999999,0.409999996,17.25,0.779999971,0.920000017,1.090000033,1.320000052,0.610000014,1.570000052,1.059999943,0.980000019,0.829999983,0
0.159999996,1.629999995,1.070000052,1.019999981,1.00999999,0.059999999,0.330000013,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,0.689999998,1,1.059999943,0
0.25,0,1.070000052,1.019999981,1.409999967,0.059999999,0.409999996,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,1.570000052,0.879999995,1,1.059999943,0
0.159999996,0.560000002,1.070000052,1.019999981,1.00999999,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,0.689999998,0.980000019,0.829999983,0
0.159999996,1.629999995,1.070000052,1.860000014,1.00999999,0.059999999,0.409999996,17.25,0.779999971,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,1.25,1,1.059999943,0
0.25,0.560000002,0.200000003,1.019999981,0.140000001,0.059999999,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,1.629999995,1.570000052,0.879999995,1,1.120000005,0
3.769999981,0.560000002,0.200000003,1.019999981,1.00999999,1.889999986,0.409999996,17.25,1.320000052,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,1.059999943,1,0.829999983,0
0.25,0.560000002,2.390000105,1.019999981,1.25999999,0.200000003,0.330000013,1.24000001,0.779999971,0.920000017,0.310000002,1.320000052,0.610000014,1.570000052,1.059999943,0.980000019,1.120000005,0
0.930000007,0.560000002,1.070000052,1.019999981,1.00999999,1.889999986,0.409999996,17.25,1.320000052,0.629999995,1.090000033,0.579999983,1.629999995,0.389999986,1.120000005,0.980000019,1.059999943,0
0.930000007,0.560000002,1.070000052,1.860000014,1.409999967,1.889999986,0.769999981,1.24000001,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.120000005,1.059999943,1.059999943,0
0.930000007,1.629999995,1.070000052,0.460000008,1.00999999,0.059999999,0.519999981,17.25,0.779999971,0.920000017,1.139999986,1.320000052,1.629999995,1.570000052,1.25,1,0.829999983,0
0.25,0.560000002,0.200000003,0.460000008,1.00999999,1.889999986,0.409999996,17.25,1.690000057,0.629999995,1.090000033,0.579999983,1.629999995,1.570000052,1.120000005,0.980000019,1.059999943,0
0.25,0.560000002,1.070000052,1.019999981,1.00999999,0.200000003,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.059999943,1,1.059999943,0
0.930000007,0,1.070000052,1.019999981,1.00999999,1.889999986,0.769999981,17.25,1.320000052,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,1.059999943,0.980000019,0.829999983,0
0.930000007,0.560000002,0.200000003,0.460000008,1.00999999,0.059999999,0.769999981,17.25,0.779999971,0.629999995,1.090000033,0.25999999,2.019999981,0.319999993,1.120000005,1,1.059999943,0
0.930000007,1.629999995,1.070000052,1.860000014,1.00999999,0.200000003,0.519999981,17.25,0.779999971,0.629999995,1.090000033,1.320000052,0.610000014,1.570000052,0.689999998,0.980000019,1.059999943,0
0.159999996,1.629999995,0.200000003,0.460000008,0.140000001,0.059999999,0.090000004,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,1.570000052,1.25,1.059999943,0.829999983,0
0.25,0.560000002,0.200000003,0.460000008,0.140000001,0.059999999,0.519999981,0.129999995,1.370000005,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,1.059999943,0.980000019,1.120000005,0
0.159999996,0,1.070000052,1.019999981,1.00999999,0.059999999,0.769999981,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,1.570000052,1.120000005,0.980000019,0.829999983,0
0.930000007,0,1.070000052,0.460000008,1.00999999,1.889999986,0.409999996,17.25,0.779999971,0.920000017,1.139999986,1.320000052,0.610000014,1.570000052,0.689999998,1,0.829999983,0
0.25,0.560000002,1.070000052,1.019999981,1.00999999,0.059999999,0.409999996,17.25,0.779999971,0.629999995,1.090000033,1.320000052,0.610000014,1.570000052,0.879999995,0.980000019,1.059999943,0
0.25,0,1.070000052,0.460000008,1.00999999,1.889999986,0.409999996,1.610000014,0.779999971,1.129999995,1.139999986,1.320000052,0.610000014,1.570000052,1.059999943,1.059999943,1.120000005,1
0.25,0.560000002,1.070000052,0.460000008,1.00999999,1.889999986,0.769999981,17.25,0.779999971,1.129999995,1.090000033,0.579999983,1.629999995,0.389999986,1.120000005,1,1.059999943,1
0.159999996,0,1.070000052,1.019999981,1.00999999,0.059999999,0.090000004,17.25,0.779999971,1.129999995,1.139999986,0.579999983,1.629999995,1.570000052,1.059999943,0.980000019,1.120000005,1
0.930000007,0.560000002,1.070000052,1.019999981,1.00999999,1.889999986,0.409999996,17.25,1.690000057,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.059999943,1,1.059999943,1
3.769999981,2.880000114,2.390000105,1.860000014,1.00999999,3.569999933,3.220000029,0.129999995,1.370000005,0.920000017,1.090000033,2.720000029,1.25999999,3.339999914,0.879999995,1.059999943,1.120000005,1
0.930000007,0.560000002,1.070000052,0.460000008,1.00999999,3.569999933,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.059999943,0.980000019,0.829999983,1
0.25,0,1.070000052,0.460000008,1.25999999,1.889999986,0.409999996,17.25,0.779999971,1.129999995,1.139999986,1.320000052,1.629999995,1.570000052,1.059999943,0.980000019,0.829999983,1
3.769999981,2.880000114,1.070000052,1.019999981,1.00999999,1.889999986,0.409999996,1.24000001,1.690000057,1.129999995,1.139999986,0.579999983,1.629999995,1.570000052,0.879999995,1.059999943,1.120000005,1
3.769999981,1.629999995,2.390000105,1.860000014,1.00999999,1.889999986,0.409999996,1.610000014,1.690000057,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,0.689999998,1.059999943,1.120000005,1
3.769999981,4.46999979,2.390000105,1.860000014,1.409999967,3.569999933,3.220000029,1.24000001,1.320000052,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.059999943,1.059999943,1.059999943,1
0.159999996,1.629999995,1.070000052,1.860000014,1.25999999,1.889999986,0.090000004,1.610000014,0.779999971,1.129999995,1.090000033,0.579999983,2.019999981,0.389999986,1.25,0.980000019,0.829999983,1
0.159999996,1.629999995,1.070000052,1.860000014,1.00999999,1.889999986,0.090000004,17.25,0.779999971,0.920000017,0.310000002,0.25999999,2.019999981,0.319999993,1.25,1,1.059999943,1
3.769999981,1.629999995,1.070000052,1.019999981,1.409999967,3.569999933,3.220000029,17.25,1.690000057,0.629999995,1.090000033,1.320000052,0.610000014,1.570000052,1.25,1,1.059999943,1
0.930000007,0,2.390000105,1.860000014,1.25999999,3.569999933,0.25999999,17.25,1.320000052,1.129999995,1.090000033,2.720000029,1.25999999,3.339999914,0.689999998,0.980000019,0.829999983,1
0.930000007,0.560000002,1.070000052,1.019999981,1.409999967,1.889999986,0.409999996,17.25,0.779999971,1.129999995,1.090000033,1.320000052,0.610000014,1.570000052,1.120000005,0.980000019,1.120000005,1
0.930000007,0,1.070000052,0.460000008,1.409999967,1.889999986,0.25999999,17.25,1.690000057,1.129999995,1.139999986,0.579999983,1.629999995,0.389999986,1.120000005,1,1.120000005,1
3.769999981,0.560000002,1.070000052,1.860000014,1.25999999,1.889999986,0.409999996,17.25,1.320000052,0.920000017,0.310000002,0.579999983,1.629999995,0.389999986,1.120000005,1.059999943,1.120000005,1
3.769999981,0,1.070000052,1.019999981,1.00999999,1.889999986,0.409999996,17.25,1.690000057,1.129999995,1.090000033,2.720000029,1.25999999,3.339999914,1.25,1,1.120000005,1
